date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:10	69466/69466	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d70-10f5a%22	http://demo2.drfuri.com/intro/naix/images/h-15.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/h-15.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:11	71251/71251	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d71-11653%22	http://demo2.drfuri.com/intro/naix/images/h-16.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/h-16.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:12	2126/2126	---M--	200	added ('OK')	image/png	etag:%22598c2d8a-84e%22	http://demo2.drfuri.com/intro/naix/images/p1.png	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p1.png	(from http://demo2.drfuri.com/intro/naix/)
13:58:12	2973/2973	---M--	200	added ('OK')	image/png	etag:%22598c2d8a-b9d%22	http://demo2.drfuri.com/intro/naix/images/p2.png	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p2.png	(from http://demo2.drfuri.com/intro/naix/)
13:58:12	2283/2283	---M--	200	added ('OK')	image/png	etag:%22598c2d8b-8eb%22	http://demo2.drfuri.com/intro/naix/images/p3.png	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p3.png	(from http://demo2.drfuri.com/intro/naix/)
13:58:12	2166/2166	---M--	200	added ('OK')	image/png	etag:%22598c2d8c-876%22	http://demo2.drfuri.com/intro/naix/images/p4.png	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p4.png	(from http://demo2.drfuri.com/intro/naix/)
13:58:13	74668/74668	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d75-123ac%22	http://demo2.drfuri.com/intro/naix/images/h-18.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/h-18.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:15	13618/13618	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d87-3532%22	http://demo2.drfuri.com/intro/naix/images/p-2.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-2.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:17	15600/15600	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d87-3cf0%22	http://demo2.drfuri.com/intro/naix/images/p-3.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-3.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:17	25883/25883	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d86-651b%22	http://demo2.drfuri.com/intro/naix/images/p-1.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-1.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:18	17413/17413	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d88-4405%22	http://demo2.drfuri.com/intro/naix/images/p-4.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-4.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:19	80621/80621	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d72-13aed%22	http://demo2.drfuri.com/intro/naix/images/h-17.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/h-17.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:20	17282/17282	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d89-4382%22	http://demo2.drfuri.com/intro/naix/images/p-6.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-6.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:23	32748/32748	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d89-7fec%22	http://demo2.drfuri.com/intro/naix/images/p-5.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/p-5.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:23	35484/35484	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d5d-8a9c%22	http://demo2.drfuri.com/intro/naix/images/b-1.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/b-1.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:25	25467/25467	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d5e-637b%22	http://demo2.drfuri.com/intro/naix/images/b-3.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/b-3.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:26	52779/52779	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d5f-ce2b%22	http://demo2.drfuri.com/intro/naix/images/b-2.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/b-2.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:26	27583/27583	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d5f-6bbf%22	http://demo2.drfuri.com/intro/naix/images/b-4.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/b-4.jpg	(from http://demo2.drfuri.com/intro/naix/)
13:58:30	36104/36104	---M--	200	added ('OK')	image/jpeg	etag:%22598c2d60-8d08%22	http://demo2.drfuri.com/intro/naix/images/b-5.jpg	C:/My%20Web%20Sites/http___demo2.drfuri.com_intro_naix_/demo2.drfuri.com/intro/naix/images/b-5.jpg	(from http://demo2.drfuri.com/intro/naix/)
